"element_id","global_id","element_type","element_name","material_name","material_type","material_id","volume_m3","volume_source","area_m2","height","length","width","layer_index","layer_thickness","total_layerset_thickness","layerset_name","is_ventilated","constituent_fraction","constituent_index","component_description","profile_name","profile_index","data_quality_flag"
"1972","0jwulq4GL4fvbmpFy620SB","IfcWall","Basic Wall:NLRS_22_WA_betonwand 100_Heembeton:6484433","NLRS_f2_beton_prefab_gen","LAYERSET","1973","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2011","0jwulq4GL4fvbmpFy620II","IfcWall","Basic Wall:NLRS_22_WA_betonwand 100_Heembeton:6484552","NLRS_f2_beton_prefab_gen","LAYERSET","1973","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2065","0jwulq4GL4fvbmpFy620Iu","IfcWall","Basic Wall:NLRS_22_WA_betonwand 100_Heembeton:6484578","NLRS_f2_beton_prefab_gen","LAYERSET","1973","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774384","3HmBCklRTDehvqRFmqLQ0f","IfcWall","Basic Wall:NLRS_21_WA_betonwand 100_Heembeton:6494748","NLRS_f2_beton_prefab_gen","LAYERSET","1973","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774423","3HmBCklRTDehvqRFmqLQ0K","IfcWall","Basic Wall:NLRS_21_WA_isolatie 131_gen_PV:6494753","NLRS_m1_isolatie_glaswol","LAYERSET","2774606","","","","","","","0","131.0","131.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774661","3HmBCklRTDehvqRFmqLQ0I","IfcWall","Basic Wall:NLRS_21_WA_mw spaarne wf halfst. 100_gen_PV:6494759","NLRS_g2_mw Rodurza Spaarne wf halfsteens","LAYERSET","2774662","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774700","3HmBCklRTDehvqRFmqLQ0V","IfcWall","Basic Wall:NLRS_21_WA_kalkzandsteen CS12 100_gen_PV:6494762","NLRS_f1_kalkzandsteen_CS12","LAYERSET","2774701","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774735","3HmBCklRTDehvqRFmqLQ0P","IfcWall","Basic Wall:NLRS_21_WA_betonwand 100_Heembeton:6494764","NLRS_f2_beton_prefab_gen","LAYERSET","1973","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774758","3HmBCklRTDehvqRFmqLQ00","IfcWall","Basic Wall:NLRS_21_WA_isolatie 131_gen_PV:6494773","NLRS_m1_isolatie_glaswol","LAYERSET","2774606","","","","","","","0","131.0","131.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
"2774971","3HmBCklRTDehvqRFmqLQ1c","IfcWall","Basic Wall:NLRS_21_WA_betonwand 100_Heembeton:6494803","NLRS_f2_beton_prefab_gen","LAYERSET","1973","","","","","","","0","100.0","100.0","Unknown","False","","","","","","NO_VOLUME|NO_DIMENSIONS"
